"","state","quantile","occ_category","share_quantile","percentile"
"88","AK",5,"Community and Social Services",0.0125646711012565,0.125
"89","AK",5,"Legal",0.00776053215077605,0.125
"90","AK",5,"Arts, Design, Entertainment, Sports, and Media",0.0251293422025129,0.125
"91","AK",5,"Healthcare Practitioners and Technicians",0.0310421286031042,0.125
"92","AK",5,"Healthcare Support",0.113451589061345,0.125
"93","AK",5,"Protective Service",0.00535846267553585,0.125
"94","AK",5,"Food Preparation and Serving",0.176644493717664,0.125
"95","AK",5,"Building and Grounds Cleaning and Maintenance",0.0659645232815965,0.125
"96","AK",5,"Personal Care and Service",0.0748337028824834,0.125
"97","AK",5,"Sales and Related",0.100886917960089,0.125
"98","AK",5,"Office and Administrative Support",0.119918699186992,0.125
"99","AK",5,"Farming, Fishing, and Forestry",0.0169992609016999,0.125
"100","AK",5,"Construction",0.0506282335550628,0.125
"101","AK",5,"Extraction",0.00147819660014782,0.125
"102","AK",5,"Installation, Maintenance, and Repair",0.0134885439763489,0.125
"103","AK",5,"Production",0.0787139689578714,0.125
"104","AK",5,"Transportation and Material Moving",0.0323355506282336,0.125
"105","AK",5,"Not Identified",0.00757575757575758,0.125
"106","AK",6,"Business Operations Specialists",0.0502980625931446,0.15
"107","AK",6,"Financial Specialists",0.00484351713859911,0.15
"108","AK",6,"Life, Physical, and Social Science",0.000558867362146051,0.15
"109","AK",6,"Community and Social Services",0.0014903129657228,0.15
"110","AK",6,"Legal",0.0191877794336811,0.15
"111","AK",6,"Arts, Design, Entertainment, Sports, and Media",0.025521609538003,0.15
"112","AK",6,"Healthcare Practitioners and Technicians",0.0286885245901639,0.15
"113","AK",6,"Healthcare Support",0.0489940387481371,0.15
"114","AK",6,"Food Preparation and Serving",0.15704172876304,0.15
"115","AK",6,"Building and Grounds Cleaning and Maintenance",0.0363263785394933,0.15
"116","AK",6,"Personal Care and Service",0.084575260804769,0.15
"117","AK",6,"Sales and Related",0.204918032786885,0.15
"118","AK",6,"Office and Administrative Support",0.161140089418778,0.15
"119","AK",6,"Farming, Fishing, and Forestry",0.0193740685543964,0.15
"120","AK",6,"Construction",0.0285022354694486,0.15
"121","AK",6,"Installation, Maintenance, and Repair",0.0132265275707899,0.15
"122","AK",6,"Production",0.0368852459016393,0.15
"123","AK",6,"Transportation and Material Moving",0.0784277198211625,0.15
"124","AK",7,"Business Operations Specialists",0.0385327899221934,0.175
"125","AK",7,"Financial Specialists",0.0359392367543535,0.175
