"","state","occ_category","median_income","quantile","share_quantile"
"94","AZ","Building and Grounds Cleaning and Maintenance",27012,1,0.0319305073099369
"95","AZ","Personal Care and Service",22510,1,0.0325289816752849
"96","AZ","Sales and Related",37756,1,0.112295877493247
"97","AZ","Office and Administrative Support",35397,1,0.142390588436462
"98","AZ","Farming, Fishing, and Forestry",28114,1,0.00572944208889719
"99","AZ","Construction",42476,1,0.0522149092947185
"100","AZ","Extraction",60000,1,0.00133706772893228
"101","AZ","Installation, Maintenance, and Repair",48731,1,0.0335426674224121
"102","AZ","Production",40000,1,0.0449235757735044
"103","AZ","Transportation and Material Moving",35000,1,0.0673924883550821
"104","AZ","Not Identified",42476,1,0.0142917420037175
"105","CA","Chief Executives",2e+05,1,0.00986001838804422
"106","CA","Other Managers",90040,1,0.00874732082429713
"107","CA","Business Operations Specialists",94391,1,0.10311275043209
"108","CA","Financial Specialists",76011,1,0.0425101309867514
"109","CA","Computer and Mathematical",127033,1,0.0479933023775908
"110","CA","Architecture and Engineering",120000,1,0.0248724551225622
"111","CA","Life, Physical, and Social Science",90000,1,0.0115560782842557
"112","CA","Community and Social Services",72000,1,0.018579818705037
"113","CA","Legal",71000,1,0.0158268264835636
"114","CA","Education, Training, and Library",62475,1,0.00876412281823031
"115","CA","Arts, Design, Entertainment, Sports, and Media",35000,1,0.023518373740801
"116","CA","Healthcare Practitioners and Technicians",81000,1,0.057243306994518
"117","CA","Healthcare Support",35000,1,0.0219065410814183
"118","CA","Protective Service",33765,1,0.0109271622699639
"119","CA","Food Preparation and Serving",22000,1,0.0657179575293392
"120","CA","Building and Grounds Cleaning and Maintenance",29155,1,0.0305276296840537
"121","CA","Personal Care and Service",23000,1,0.0318820731777531
"122","CA","Sales and Related",35397,1,0.10235318443049
"123","CA","Office and Administrative Support",36444,1,0.118593615169883
"124","CA","Farming, Fishing, and Forestry",25000,1,0.0177426883262715
"125","CA","Construction",46856,1,0.0482575716701001
"126","CA","Extraction",63000,1,0.000452132966055265
"127","CA","Installation, Maintenance, and Repair",52063,1,0.0273183039980417
"128","CA","Production",39000,1,0.0550297167162096
"129","CA","Transportation and Material Moving",35000,1,0.0730154545754111
"130","CA","Not Identified",63516,1,0.0236914632472678
"131","CO","Chief Executives",185708,1,0.0108669270559173
"132","CO","Other Managers",80000,1,0.0114836152552803
"133","CO","Business Operations Specialists",86424,1,0.120718036500013
"134","CO","Financial Specialists",73158,1,0.0493469492214532
"135","CO","Computer and Mathematical",1e+05,1,0.056359575031352
"136","CO","Architecture and Engineering",98000,1,0.03058641321369
"137","CO","Life, Physical, and Social Science",69764,1,0.00928820526554814
"138","CO","Community and Social Services",70000,1,0.0221849174805116
"139","CO","Legal",59652,1,0.0154964934668493
"140","CO","Education, Training, and Library",55000,1,0.00820063157681446
"141","CO","Arts, Design, Entertainment, Sports, and Media",34000,1,0.0230244944147871
"142","CO","Healthcare Practitioners and Technicians",67681,1,0.0642113372839554
"143","CO","Healthcare Support",31514,1,0.0223756503307431
"144","CO","Protective Service",34000,1,0.00827903907644775
"145","CO","Food Preparation and Serving",20000,1,0.0646786988407583
"146","CO","Building and Grounds Cleaning and Maintenance",28000,1,0.0241984044514316
"147","CO","Personal Care and Service",22510,1,0.0284099443615097
"148","CO","Sales and Related",41650,1,0.107890481461692
"149","CO","Office and Administrative Support",37485,1,0.113908036812762
"150","CO","Farming, Fishing, and Forestry",30000,1,0.0060571995924572
"151","CO","Construction",48000,1,0.0499693638112388
"152","CO","Extraction",67681,1,0.00234737958171801
"153","CO","Installation, Maintenance, and Repair",53000,1,0.0304080141274457
"154","CO","Production",41650,1,0.0394217931442773
"155","CO","Transportation and Material Moving",38000,1,0.0603297255605365
"156","CO","Not Identified",50648,1,0.0199586730808113
"157","CT","Chief Executives",225100,1,0.0120478681923235
"158","CT","Other Managers",81218,1,0.0088178995278404
"159","CT","Business Operations Specialists",96751,1,0.111986898634565
"160","CT","Financial Specialists",80000,1,0.0513250244587179
"161","CT","Computer and Mathematical",1e+05,1,0.0404547194691395
"162","CT","Architecture and Engineering",99000,1,0.0260999333588555
"163","CT","Life, Physical, and Social Science",71000,1,0.0111007132020361
"164","CT","Community and Social Services",77000,1,0.0254959093680434
"165","CT","Legal",72888,1,0.0182206814411502
"166","CT","Education, Training, and Library",62475,1,0.0132786025210203
"167","CT","Arts, Design, Entertainment, Sports, and Media",35400,1,0.031844541806684
"168","CT","Healthcare Practitioners and Technicians",76000,1,0.0738171196846598
"169","CT","Healthcare Support",34674,1,0.0293603868022176
"170","CT","Protective Service",30000,1,0.00889163015582685
"171","CT","Food Preparation and Serving",18000,1,0.0549640563188566
"172","CT","Building and Grounds Cleaning and Maintenance",28025,1,0.029193074992556
"173","CT","Personal Care and Service",22510,1,0.0339827300182909
"174","CT","Sales and Related",39393,1,0.108008280516682
"175","CT","Office and Administrative Support",39500,1,0.111448806839934
"176","CT","Farming, Fishing, and Forestry",25887,1,0.00203822649481759
"177","CT","Construction",50000,1,0.03805847405958
"178","CT","Extraction",44000,1,0.00027081826818098
"179","CT","Installation, Maintenance, and Repair",58000,1,0.0269527982191218
"180","CT","Production",45000,1,0.0570504913012038
"181","CT","Transportation and Material Moving",32279,1,0.0571837735902562
"182","CT","Not Identified",58526,1,0.0181065407574404
"183","DC","Chief Executives",2e+05,1,0.0222954296190472
"184","DC","Other Managers",83300,1,0.0103848379746733
"185","DC","Business Operations Specialists",106190,1,0.175020538991707
"186","DC","Financial Specialists",95668,1,0.10767288165089
"187","DC","Computer and Mathematical",95668,1,0.0711316883253538
"188","DC","Architecture and Engineering",106190,1,0.016669971791769
"189","DC","Life, Physical, and Social Science",92000,1,0.0324900542715032
"190","DC","Community and Social Services",84000,1,0.0182281021971662
"191","DC","Legal",176983,1,0.0731228575706926
"192","DC","Education, Training, and Library",66000,1,0.0249826986818621
"193","DC","Arts, Design, Entertainment, Sports, and Media",45020,1,0.0321824752823858
"194","DC","Healthcare Practitioners and Technicians",82592,1,0.0490183778445998
"195","DC","Healthcare Support",33765,1,0.0121898409897568
"196","DC","Protective Service",35397,1,0.018041935966911
"197","DC","Food Preparation and Serving",26031,1,0.0476221311176854
"198","DC","Building and Grounds Cleaning and Maintenance",28800,1,0.0210084543751088
"199","DC","Personal Care and Service",30000,1,0.0201788005228843
"200","DC","Sales and Related",42000,1,0.0618719419161362
"201","DC","Office and Administrative Support",44246,1,0.0762229300136387
"202","DC","Farming, Fishing, and Forestry",27137,1,0.000348049908738076
"203","DC","Construction",45020,1,0.0134322982221125
"204","DC","Installation, Maintenance, and Repair",50000,1,0.00622847452962674
"205","DC","Production",41650,1,0.00715121149697885
"206","DC","Transportation and Material Moving",35397,1,0.0208668061564363
"207","DC","Not Identified",85000,1,0.0616372105823361
"208","DE","Chief Executives",156188,1,0.00887683089760088
"209","DE","Other Managers",80000,1,0.00924840645995044
"210","DE","Business Operations Specialists",80000,1,0.100595886986386
"211","DE","Financial Specialists",72000,1,0.0451573595184818
"212","DE","Computer and Mathematical",93000,1,0.041862358575882
"213","DE","Architecture and Engineering",92000,1,0.0135625080257589
"214","DE","Life, Physical, and Social Science",83300,1,0.0135133289072127
"215","DE","Community and Social Services",65000,1,0.0239174446530003
"216","DE","Legal",60000,1,0.0157564431475729
"217","DE","Education, Training, and Library",56045,1,0.0135870975850321
"218","DE","Arts, Design, Entertainment, Sports, and Media",30000,1,0.020969429713477
"219","DE","Healthcare Practitioners and Technicians",70793,1,0.0742140220595668
"220","DE","Healthcare Support",31900,1,0.02963588327063
"221","DE","Protective Service",30677,1,0.0125898543478439
"222","DE","Food Preparation and Serving",18743,1,0.0569494192765752
"223","DE","Building and Grounds Cleaning and Maintenance",26300,1,0.036635711143715
"224","DE","Personal Care and Service",24761,1,0.0294337024499398
"225","DE","Sales and Related",29155,1,0.101508432852744
"226","DE","Office and Administrative Support",35000,1,0.124445027308072
"227","DE","Farming, Fishing, and Forestry",27012,1,0.00462283714334893
"228","DE","Construction",41650,1,0.0438513807037532
"229","DE","Extraction",53000,1,0.000120215623113093
"230","DE","Installation, Maintenance, and Repair",51000,1,0.0404744145635763
"231","DE","Production",40000,1,0.0490862246556779
"232","DE","Transportation and Material Moving",34217,1,0.0791701843397293
"233","DE","Not Identified",34986,1,0.0102155957913603
"234","FL","Chief Executives",156188,1,0.00919522221959954
"235","FL","Other Managers",70907,1,0.00921026658881638
"236","FL","Business Operations Specialists",70793,1,0.0977673896696542
"237","FL","Financial Specialists",61903,1,0.0419278788502886
"238","FL","Computer and Mathematical",80000,1,0.0323487658299836
"239","FL","Architecture and Engineering",89000,1,0.0139041097844687
"240","FL","Life, Physical, and Social Science",56000,1,0.00448724250459696
"241","FL","Community and Social Services",60000,1,0.0188714751756236
"242","FL","Legal",58994,1,0.0145755296071889
"243","FL","Education, Training, and Library",50000,1,0.00930494236061197
"244","FL","Arts, Design, Entertainment, Sports, and Media",30000,1,0.023609932707574
"245","FL","Healthcare Practitioners and Technicians",60000,1,0.0724076411907566
"246","FL","Healthcare Support",30000,1,0.0288156735351129
"247","FL","Protective Service",28317,1,0.0109406284344285
"248","FL","Food Preparation and Serving",20259,1,0.0742727538951299
"249","FL","Building and Grounds Cleaning and Maintenance",24990,1,0.0378365885803381
"250","FL","Personal Care and Service",22510,1,0.028476915842058
"251","FL","Sales and Related",33765,1,0.122791233697934
"252","FL","Office and Administrative Support",32200,1,0.137819910081362
"253","FL","Farming, Fishing, and Forestry",23598,1,0.00505205481441863
"254","FL","Construction",37400,1,0.0508843365549899
"255","FL","Extraction",45010,1,0.000421501723747511
"256","FL","Installation, Maintenance, and Repair",45000,1,0.033429236863996
"257","FL","Production",34891,1,0.0367829639638074
"258","FL","Transportation and Material Moving",32000,1,0.0691952792844483
"259","FL","Not Identified",43733,1,0.0156705262390659
"260","GA","Chief Executives",180000,1,0.00883636227143824
"261","GA","Other Managers",80000,1,0.00941181952438704
"262","GA","Business Operations Specialists",80000,1,0.102289791781808
"263","GA","Financial Specialists",68000,1,0.0463073531943314
"264","GA","Computer and Mathematical",93000,1,0.042306850995919
"265","GA","Architecture and Engineering",91630,1,0.0172202282414125
"266","GA","Life, Physical, and Social Science",61903,1,0.00557595556838376
"267","GA","Community and Social Services",64894,1,0.0178223486059464
"268","GA","Legal",60000,1,0.0136805060296168
"269","GA","Education, Training, and Library",52063,1,0.00833261066809215
"270","GA","Arts, Design, Entertainment, Sports, and Media",28322,1,0.0233876907027283
"271","GA","Healthcare Practitioners and Technicians",64000,1,0.0635754714905327
"272","GA","Healthcare Support",30000,1,0.0220910351111761
"273","GA","Protective Service",30677,1,0.00843667446282243
"274","GA","Food Preparation and Serving",15982,1,0.0604527810531411
"275","GA","Building and Grounds Cleaning and Maintenance",24000,1,0.0287506002435921
"276","GA","Personal Care and Service",20000,1,0.023107857463665
"277","GA","Sales and Related",33765,1,0.110527916666127
"278","GA","Office and Administrative Support",34000,1,0.129717073322263
"279","GA","Farming, Fishing, and Forestry",27073,1,0.00469270763898147
"280","GA","Construction",37756,1,0.0452133890238583
"281","GA","Extraction",46000,1,0.000518765782685286
"282","GA","Installation, Maintenance, and Repair",49522,1,0.0354974029352721
"283","GA","Production",36000,1,0.0693774163444874
"284","GA","Transportation and Material Moving",35000,1,0.0870449635841435
"285","GA","Not Identified",50000,1,0.0158244272931894
"286","HI","Chief Executives",114538,1,0.00618627435692375
"287","HI","Other Managers",84000,1,0.010712925236747
"288","HI","Business Operations Specialists",72000,1,0.0896731321438994
"289","HI","Financial Specialists",60000,1,0.0323259010418871
"290","HI","Computer and Mathematical",88506,1,0.0212765957446809
"291","HI","Architecture and Engineering",84952,1,0.0126153661084837
"292","HI","Life, Physical, and Social Science",70793,1,0.00608825632606144
"293","HI","Community and Social Services",68000,1,0.0155291748441179
"294","HI","Legal",58000,1,0.0168880611810727
"295","HI","Education, Training, and Library",51000,1,0.00604815804070867
"296","HI","Arts, Design, Entertainment, Sports, and Media",39568,1,0.0287014615825011
"297","HI","Healthcare Practitioners and Technicians",90000,1,0.0655139152188587
"298","HI","Healthcare Support",35000,1,0.027881674415289
"299","HI","Protective Service",34925,1,0.0171041463854737
"300","HI","Food Preparation and Serving",23598,1,0.102203846316638
"301","HI","Building and Grounds Cleaning and Maintenance",35000,1,0.0495592530134975
"302","HI","Personal Care and Service",23000,1,0.0379953530542641
"303","HI","Sales and Related",33765,1,0.12142651877825
"304","HI","Office and Administrative Support",36500,1,0.137566078632738
"305","HI","Farming, Fishing, and Forestry",24536,1,0.00696373555626346
"306","HI","Construction",58000,1,0.0562244791121349
"307","HI","Extraction",67530,1,0.000389844440929656
"308","HI","Installation, Maintenance, and Repair",56634,1,0.029267292942479
"309","HI","Production",39800,1,0.025221821486889
"310","HI","Transportation and Material Moving",39000,1,0.0622681817878043
"311","HI","Not Identified",33765,1,0.0143685522514073
"312","IA","Chief Executives",153385,1,0.00687795594673305
"313","IA","Other Managers",75000,1,0.00722635181276257
"314","IA","Business Operations Specialists",70000,1,0.0867841016988797
"315","IA","Financial Specialists",60000,1,0.0405619478109535
"316","IA","Computer and Mathematical",83300,1,0.0328996922503183
