"","OCC2010","median_wage","num_workers","Label"
"116",700,55000,23429,"Logisticians"
"117",2825,55000,31707,"Public Relations Specialists"
"118",8130,55000,243,"Tool and Die Makers"
"119",930,54699,4751,"Tax Examiners and Collectors, and Revenue Agents"
"120",1740,54637.5,19416,"Environmental Scientists and Geoscientists"
"121",350,54145,48818,"Medical and Health Services Managers"
"122",8620,53685,3512,"Water Wastewater Treatment Plant and System Operators"
"123",6100,53095,641,"Fishing and hunting workers"
"124",9410,53095,643,"Transportation Inspectors"
"125",910,52063,33932,"Credit Counselors and Loan Officers"
"126",1050,52063,75031,"Computer Support Specialists"
"127",1820,52063,26196,"Psychologists"
"128",3030,52063,22061,"Dieticians and Nutritionists"
"129",4920,52063,40335,"Real Estate Brokers and Sales Agents"
"130",6740,52063,29,"Rail-Track Laying and Maintenance Equipment Operators"
"131",7130,52063,1397,"Security and Fire Alarm Systems Installers"
"132",7330,52063,4405,"Industrial and Refractory Machinery Mechanics"
"133",500,52000,6931,"Agents and Business Managers of Artists, Performers, and Athletes"
"134",520,52000,19250,"Wholesale and Retail Buyers, Except Farm Products"
"135",100,50648,8816,"Administrative Services Managers"
"136",1760,50648,92937,"Physical Scientists, nec"
"137",7300,50648,598,"Control and Valve Installers and Repairers"
"138",720,50000,42900,"Meeting and Convention Planners"
"139",1540,50000,11910,"Drafters"
"140",2630,50000,142743,"Designers"
"141",3000,50000,6113,"Chiropractors"
"142",3540,50000,32748,"Healthcare Practitioners and Technical Occupations, nec"
"143",3700,50000,779,"First-Line Supervisors of Correctional Officers"
"144",3750,50000,651,"Fire Inspectors"
"145",3800,50000,16996,"Sheriffs, Bailiffs, Correctional Officers, and Jailers"
"146",3910,50000,10791,"Private Detectives and Investigators"
"147",5600,50000,30502,"Production, Planning, and Expediting Clerks"
"148",6250,50000,326,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
"149",6320,50000,2478,"Construction equipment operators except paving, surfacing, and tamping equipment operators"
"150",6460,50000,92,"Plasterers and Stucco Masons"
"151",6700,50000,228,"Elevator Installers and Repairers"
"152",9830,50000,28378,"Military, Rank Not Specified"
"153",1310,49980,5340,"Surveyors, Cartographers, and Photogrammetrists"
"154",2700,49673,38560,"Actors, Producers, and Directors"
"155",6940,49555,484,"Extraction workers, nec"
"156",7360,49522,274,"Millwrights"
"157",4810,48700,40958,"Insurance Sales Agents"
"158",3730,48611,2640,"Supervisors, Protective Service Workers, All Other"
"159",420,48400,58207,"Social and Community Service Managers"
"160",2330,48375,72577,"Special Education Teachers"
"161",2320,48000,205903,"Secondary School Teachers"
"162",2850,48000,32675,"Writers and Authors"
"163",9560,47721,368,"Conveyor operators and tenders, and hoist and winch operators"
"164",4210,47609,3334,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
"165",230,47200,67573,"Education Administrators"
"166",1610,47195,25467,"Biological Scientists"
"167",4965,47195,35049,"Sales and Related Workers, All Other"
"168",6730,47195,852,"Highway Maintenance Workers"
"169",6820,47195,151,"Earth Drillers, Except Oil and Gas"
"170",7315,47195,6351,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
"171",8030,47195,2472,"Machinists"
"172",4700,47000,193107,"First-Line Supervisors of Sales Workers"
"173",2810,46856,41056,"Editors, News Analysts, Reporters, and Correspondents"
"174",5530,46856,340,"Meter Readers, Utilities"
"175",7210,46856,1907,"Bus and Truck Mechanics and Diesel Engine Specialists"
"176",8420,46856,318,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
"177",6765,46146,1462,"Construction workers, nec"
"178",9420,46146,2537,"Transportation workers, nec"
"179",1920,46015,9452,"Chemical Technicians"
"180",1550,46000,33356,"Engineering Technicians, Except Drafters"
"181",5000,46000,59725,"First-Line Supervisors of Office and Administrative Support Workers"
"182",3120,45815,625,"Podiatrists"
"183",2310,45583,519097,"Elementary and Middle School Teachers"
"184",1640,45510,7322,"Conservation Scientists and Foresters"
"185",1710,45020,2775,"Atmospheric and Space Scientists"
"186",1840,45020,12659,"Social Scientists, nec"
"187",2600,45020,22794,"Artists and Related Workers"
"188",2920,45020,19842,"Television, Video, and Motion Picture Camera Operators and Editors"
"189",6010,45020,895,"Agricultural Inspectors"
"190",6210,45020,552,"Boilermakers"
"191",6355,45020,13281,"Electricians"
"192",6440,45020,7446,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
"193",7020,45020,4957,"Radio and Telecommunications Equipment Installers and Repairers"
"194",7160,45020,110,"Automotive Glass Installers and Repairers"
"195",3500,45000,4970,"Licensed Practical and Licensed Vocational Nurses"
"196",5500,45000,1402,"Cargo and Freight Agents"
"197",5550,45000,6566,"Postal Service Mail Carriers"
"198",6530,45000,656,"Structural Iron and Steel Workers"
"199",7430,45000,1907,"Precision Instrument and Equipment Repairers"
"200",8220,45000,3828,"Metal workers and plastic workers, nec"
"201",5340,44836,1312,"New Account Clerks"
"202",6520,44836,1540,"Sheet Metal Workers, metal-working"
"203",3900,44774,689,"Animal Control"
"204",1560,43895,2424,"Surveying and Mapping Technicians"
"205",2020,43733,18751,"Community and Social Service Specialists, nec"
"206",2010,43656,187395,"Social Workers"
"207",4320,43656,2285,"First-Line Supervisors of Personal Service Workers"
"208",7920,43656,222,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
"209",5540,43500,2510,"Postal Service Clerks"
"210",8740,43300,31631,"Inspectors, Testers, Sorters, Samplers, and Weighers"
"211",7220,43000,1682,"Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics"
"212",8140,43000,4205,"Welding, Soldering, and Brazing Workers"
"213",8540,43000,278,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
"214",3300,42769,47106,"Clinical Laboratory Technologists and Technicians"
"215",5330,42769,10588,"Loan Interviewers and Clerks"
"216",7320,42769,752,"Home Appliance Repairers"
"217",8460,42476,571,"Textile, Apparel, and Furnishings workers, nec"
"218",9820,42476,15830,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members"
"219",310,42379,51675,"Food Service and Lodging Managers"
"220",1910,42000,7657,"Biological Technicians"
