"","Occupation","0p-80p","80p-90p","90p-95p","95p-100p"
"1","Chief Executives",0.0022647699857876,0.0164188009943505,0.0480377025686253,0.0866825164283063
"2","Other Managers",0.00562388756037445,0.0142515192630963,0.0150969512120433,0.0106886711986784
"3","Business Operations Specialists",0.0761817718405303,0.211155562200706,0.268955401217555,0.241036336381437
"4","Sales and Related",0.103757212986164,0.0800357161322056,0.098215926211737,0.107572464486805
"5","Architecture and Engineering",0.0110788572751875,0.0411853396176585,0.034533127549333,0.0113404194425002
"6","Computer and Mathematical",0.0237771724741222,0.0853484209305478,0.113168951114051,0.0762205402709572
"7","Healthcare Practitioners and Technicians",0.060495711216498,0.132159470574015,0.0874857604821225,0.107422279021924
"8","Life, Physical, and Social Science",0.00854085340755128,0.0138043689381437,0.0140649689486642,0.0128026024590745
"9","Other Occupations",0.708279763253785,0.405640801349276,0.320441210695868,0.346234170310317
